pk_local;Region Code;Address Number;City;Country;Customer Address 1;Customer Address 2;Customer Address 3;Customer Address 4;State;Zip Code
856c1313756ff19b4924a0a7cd2067a86e0bc6d254c80a88738e5c32f558561f;4;10000462;Hazelwood;US;6311 North Lindbergh Boulevard;Não Informado;Não Informado;Não Informado;MO;63042
635419493253e0eef08c40975cbf85a866ed3273fd7c79491d96b8a64bf1987d;3;10008602;Wells;US;209 Sanford Road (Route 109);Não Informado;Não Informado;Não Informado;ME;4090
4d310aa55f32bca30663a0e3c1bdad2cfe315bc9fc1520a5937671b589f631bb;1;10011981;Missoula;US;PO Box 2640;Não Informado;Não Informado;Não Informado;MT;59806
f5a3b4298144b4dd14ab2a845e976a0f3c8228313ad22fe079adc1bcc0c0e954;3;10019105;Mechanicsville;US;6029 Mechanicsville Pike;Não Informado;Não Informado;Não Informado;VA;23111
b9362ec8794c86c59a8efe1ccfe2cf8adabe26cea2c2ccc604d976067adda834;5;10000501;"";"";"";"";"";"";"";""
369504a2ca34e2a0694dc5681840c7d28b09691f63618c37374d17ddc51f56d6;5;10020306;"";"";"";"";"";"";"";""
ee1240ba4a20479654dc9bb2eeed0c73bfe32fd8c0df33fe8373c3dd7c4d2969;2;10016549;Jacksonville;US;PO Box 6307;Não Informado;Não Informado;Não Informado;FL;32236
520d221df22c8cc3844b2306338e9b67954cd3c3df3565f06bf832476693241e;2;10019897;El Paso;US;7210 Gateway East;Não Informado;Não Informado;Não Informado;TX;79915
2820d50ef4a1eaba2189e9b01611b947dac3cd433d507c1aff20cc89ac8ea94e;4;10014533;Aurora;US;Chicago PDC #22;Attention  Accounts Payable;PO Box 2060;Não Informado;IL;60507-2060
109d2bdb3d31e00132170e3d26073dde906562405780d65c901606a85c1fa3c6;5;10011870;"";"";"";"";"";"";"";""
b5a04a9a76d1e1ae420176350e71c51a855d4837fff40de843e4f55054a04f3f;5;10011052;"";"";"";"";"";"";"";""
a83f376c3abac8530b5d3f712fbb066dec1ce8e2418414626533e7e5802b697f;2;10026839;Greenwood;US;1201 Sycamore Avenue;Não Informado;Não Informado;Não Informado;MS;38930
431ce2588212b64a962e1d777589d44b4baf7467c60ef59473d0f5f644bb0215;1;10014047;Fresno;US;1510 Merced Street;Não Informado;Não Informado;Não Informado;CA;93706
5386e39bf2934f5e98a64d179397e965d16e3eae794c3596d41a1b8aeb02a8b9;2;10021911;Tupelo;US;PO Box 2187;Não Informado;Não Informado;Não Informado;MS;38803-2187
54dadb8d835ca7f8a37927c5c2518d09f5952342458bd4431bc2b1c3bfcc6b2f;4;10000481;Chicago;US;Box 5516;Não Informado;Não Informado;Não Informado;IL;60680
02450157243553853beea0002f0f4ec42a6b03bec84e7363c53c2d20a5c8a247;4;10009642;Joliet;US;812 Draper Avenue;Não Informado;Não Informado;Não Informado;IL;60432
429b47cc7fe7ff1578218e387d06e9916f8aee7f1dac66a19daf13fb504ee58b;2;10023516;Miami;US;2900 Northwest 73rd Street;Não Informado;Não Informado;Não Informado;FL;33147
daa84023de64d39689ee78703a6efccb8bd8c8a74cb354620b81a622f6c04b9f;5;10026438;"";"";"";"";"";"";"";""
31850aac2509ad25c4941760d4485242210476eb154c94cc08d43c13a1c840f0;5;10000457;"";"";"";"";"";"";"";""
286111bcd3e89d2163bb1720749b1ada52bc5d500b113652a5d669a21c00ff69;5;10006919;"";"";"";"";"";"";"";""
d91c650f7f982c6829c6e6bfa83384ebd8f0ba16da62cefaffc0929ec835e4e2;4;10025291;Dover;US;217 West 3rd Street;Não Informado;Não Informado;Não Informado;OH;44622
8c686136bff5ab4396e45f2edacf41310750afd2d51805bbc04ffd131b238eed;5;10004207;"";"";"";"";"";"";"";""
2802990474256f252c18a6706edc486edd2309bd840c14e62e919bb342d800ab;5;10022746;A 5102 Anthering;UK;Landstrasse 18;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado
846b88827d02d61e3aa4f3303faf37b15d70947ace97ba80415058a158744c06;3;10008638;Milesburg;US;301 Iddings Street;PO Box 865;Não Informado;Não Informado;PA;16853
93bee4ce04a87329764f2b504801f7dbb648862a0f59d4f582cc56d3e035e6e1;5;10021736;"";"";"";"";"";"";"";""
2fc6c0a99865e00543b47d99c353bd54c551f74dc3b05b0391f24d7b45ab6052;5;10025467;"";"";"";"";"";"";"";""
7bb95acf3867ba67bf10d1827baa9c89c02e036fae8c02f23d8294c3aa545326;5;10009669;Não Informado;UK;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado;Não Informado
ee6be0dbc5709fd0dc13856362f124d92f7f826843a818ccd8ebde93fca49cde;5;10025022;West Midlands;UK;Bromley St Lye Stourbridge;Não Informado;Não Informado;Não Informado;Não Informado;DY9 8HS
b30ea4d2ce2e380d71984e5962d058c10da6ca27005f7ad695b99befcb1d3312;0;10018146;Fort Macleod;CA;Box 1178;Não Informado;Não Informado;Não Informado;AB;T0L 0Z0
2b047beb37bb2d4a5c15fd8442d0b481838ed26296b2ed11d58e7211948f3be2;5;10026038;"";"";"";"";"";"";"";""
4598fc4b64fb6fd8fc0ed4425a89424bdb165e66c60afd48c8cc9809807adde5;5;10023964;"";"";"";"";"";"";"";""
20bbf14a64acfe0dce85a24a412bc4807c972054f003654b667e3b95758ba1dd;1;10024248;Portland;US;9440 North Whitaker Road;Não Informado;Não Informado;Não Informado;OR;97217
365fa319bb2423954386468e218016155d9cf464044dcb81e7456a5ed921b96d;2;10026062;Houston;US;2301 Central Parkway;Não Informado;Não Informado;Não Informado;TX;77092
9898bcf1fcfaf16b4bc50fd57f47f55952fc703b6443b05e2be77aa01519c789;2;10027560;Odessa;US;3356 Kermit Highway;Não Informado;Não Informado;Não Informado;TX;79764
fb5fc5cccb4389e58fb0b6883446130d1e33f4d04b23acfbf50a0431ced00678;5;10012161;"";"";"";"";"";"";"";""
f5379cc9cdf253b9196c92e742f9109150b00ce2f6b4679f83a1ed726f9fe1c9;5;10010923;Seocho-GU;AU;231 Yangjae Dong;Não Informado;Não Informado;Não Informado;Não Informado;137-938
4cc62c1c57046e91a5d3879834337c4f6cfe72cdf307267a2b2f08373c309b72;4;10023023;Thief River Falls;US;600 South Brooks Avenue;Não Informado;Não Informado;Não Informado;MN;56701
a6f844ce9ae8d2ac4209a8151d99634d6f4710b30eb0eae2083ab93e8076bb26;1;10025034;Corona;US;395 Smitty Way;Não Informado;Não Informado;Não Informado;CA;91720
34ed6d221e1ec2fae265f5bc2b09e874e5093a1218ebb99990929d57cd1cbb01;4;10024541;Bedford;US;Americas Body Company;PO Box 46539;Não Informado;Não Informado;OH;44146
93d47bd7f681989509fd349f343011ba3d4f4cdc2597fc4592984600ef6a562c;4;10024255;Pontiac;US;Division Of Pontiac Michigan;17575 PP-CPDC;1251 Joslyn Road Dock 4;Não Informado;MI;48340-2956
7a17790c0c13634552789e75337c21f6589c18fcd870982612a4f2f44a8bee57;1;10004256;Portland;US;PO Box 20505;Não Informado;Não Informado;Não Informado;OR;97294
e372e6c236ef9eac15148e536291ee8aeb73098515acf09f5da884dfb6415c72;5;10025288;Furstentum;AU;Kirchstrasse 39;FL 9490 Vaduz;Não Informado;Não Informado;Não Informado;Não Informado
3becbaaf9d3031ff4887781b5d4d3323d7d76f5aeb61686694450f4cce6f5d53;1;10024270;Maxwell;US;PO Box 1010;Não Informado;Não Informado;Não Informado;CA;95955
f1ae1616e8c3561ceb5c5f279171d22c27c88bb09a26a2b3c16756c684a0da16;5;10025267;"";"";"";"";"";"";"";""
1b0d4e12ff63754970d7fd2378f7bcfc0ddfc31082db4f05246b3dd2e85139e0;5;10013871;"";"";"";"";"";"";"";""
b352a5aacb3186536b68c41721517e8d748f7f581bfce01703fa0b2beb4041eb;0;10021472;Surrey;CA;9475 192 Street;Não Informado;Não Informado;Não Informado;BC;V3T 4W2
f40c3d0714334b10f21fd49c5dcdfd31a11e9d619f89c59863d9896bcd544857;5;10002136;"";"";"";"";"";"";"";""
d470999222639c2614a5e397668183ca082573960877cbb6aaa7d40c2b409a82;5;10021331;"";"";"";"";"";"";"";""
04f0d39f23f07316da9b9008b0f8a3a2682bd4791a77dec1c377cc0b645512f6;5;10020864;"";"";"";"";"";"";"";""
70dccda4b4e4321cbdd99cdc0733d25fe4fbebf80a6fd6c0801667c6ef73e905;2;10025243;Longview;US;PO Box 5308;Não Informado;Não Informado;Não Informado;TX;75608
f048fdf288abbdcde3fe8c1974c911a4fbb8d247838b24bba90220131222b661;4;10020390;Lansing;US;16241 South Us 27;Não Informado;Não Informado;Não Informado;MI;48906
db5d2ec8667d8c2655222f6bb111bc7fa263cd0bb52d914453e42aa9ccff4ece;5;10015253;"";"";"";"";"";"";"";""
7468991c561c8a8cf8bbd6438f2077a32f1684d5d48292aea6ed497f67551809;1;10020192;Sacramento;US;3248 Auburn Boulevard;Não Informado;Não Informado;Não Informado;CA;95821
c8424c47eefe240400f2c124275f67a6db653fe038ab6d01cad9f1318dcec146;3;10009662;West Point;US;610 Garfield Avenue;Não Informado;Não Informado;Não Informado;PA;19486
3d7db5f9f775b8c3dabf73d6f2d20809d474eea4a29c38e9d36eecffbb0c1880;1;10024262;Oakland;US;124 Hegenberger Loop;Não Informado;Não Informado;Não Informado;CA;94621
8bb321f6d020302f229522467dfbda1460e2b50b54f5bc7c21f07e46b31f8814;1;10019678;Sacramento;US;3248 Auburn Boulevard;Não Informado;Não Informado;Não Informado;CA;95821
4bc649c7634e326bae26f45ecc5902db0aa8aff86b082669fcc4062184d0c7ae;5;10001818;"";"";"";"";"";"";"";""
1887045054a2af9af88b5e4a3bc65d4d198f2be62937afe7f67b1e81d9e7afa4;5;10001103;"";"";"";"";"";"";"";""
18e11d8561c574cb11b58842a3c8de5d84d732f8cffe2fff28a6f08bc40cfad3;4;10025571;Des Moines;US;PO Box 3283;Não Informado;Não Informado;Não Informado;IA;50316-0283
f894073a75a3c860f8725a75aa65a84952a692429610f997844f60e975272518;2;10023244;Cleveland;US;PO Box 899;Não Informado;Não Informado;Não Informado;MS;38732-0899
85e755a7864a15cdf003e25eb3c6fc1c3c59b316447e69c82d658f2f04535af1;2;10019150;Jacksonville;US;Jacksonville PDC #21;Attention  Accounts Payable;PO Box 23017;Não Informado;FL;32241-3017
